STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
US1COBO0306,"NIWOT 0.9 NE, CO US",40.10444444,-105.1438889,1567,10/3/2016,3,",,N",0,",,N",,,,,,,,,,,,,,
US1COBO0306,"NIWOT 0.9 NE, CO US",40.10444444,-105.1438889,1567,10/4/2016,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COBO0306,"NIWOT 0.9 NE, CO US",40.10444444,-105.1438889,1567,10/5/2016,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COBO0306,"NIWOT 0.9 NE, CO US",40.10444444,-105.1438889,1567,10/6/2016,,,,,0.13,",,N",,,,,,,,,,,,
US1COBO0306,"NIWOT 0.9 NE, CO US",40.10444444,-105.1438889,1567,10/7/2016,,,,,0.06,",,N",,,,,,,,,,,,
US1COBO0306,"NIWOT 0.9 NE, CO US",40.10444444,-105.1438889,1567,10/10/2016,3,",,N",0,",,N",,,,,,,,,,,,,,
US1COBO0306,"NIWOT 0.9 NE, CO US",40.10444444,-105.1438889,1567,10/11/2016,,,,,0,",,N",0,",,N",,,,,,,,,,
US1COBO0306,"NIWOT 0.9 NE, CO US",40.10444444,-105.1438889,1567,10/12/2016,,,,,0.18,",,N",,,,,,,,,,,,
US1COBO0306,"NIWOT 0.9 NE, CO US",40.10444444,-105.1438889,1567,10/13/2016,,,,,0.02,",,N",,,,,,,,,,,,
US1COBO0306,"NIWOT 0.9 NE, CO US",40.10444444,-105.1438889,1567,10/18/2016,,,,,0,",,N",0,",,N",,,,,,,,,,
